shipment_id,order_id,warehouse_id,shipping_city,shipping_state,shipping_partner,shipped_date,expected_delivery_date,actual_delivery_date,shipment_status,delivery_days,shipping_cost,shipment_priority,tracking_status,delay_reason,delivery_rating,customer_feedback,is_on_time
SHP000001,ORD000001,21,Aurangabad, West Bengal,Delhivery,11-04-2026,13-04-2026,14-04-2026,Delivered,3,311.28,Standard,Delivered,,5,Excellent,No
SHP000002,ORD000002,24,Tiruchirappalli, Andhra Pradesh,Delhivery,17-11-2024,23-11-2024,,In Transit,,450.83,Standard,Arrived at Hub,,,,Pending
SHP000003,ORD000003,7,Ujjain, Chhattisgarh,Delhivery,06-12-2024,12-12-2024,13-12-2024,Delivered,7,75.21,Standard,Delivered,,5,Excellent,No
SHP000004,ORD000004,21,Mango, Haryana,DTDC,06-05-2026,12-05-2026,12-05-2026,Delivered,6,259.42,Standard,Delivered,,3,Average,Yes
SHP000005,ORD000005,1,Dharmavaram, Telangana,Delhivery,17-08-2024,24-08-2024,24-08-2024,Delivered,7,373.24,Standard,Delivered,,4,Good,Yes
SHP000006,ORD000006,25,Guwahati, Sikkim,Blue Dart,09-06-2026,11-06-2026,,In Transit,,410.93,Standard,Arrived at Hub,,,,Pending
SHP000007,ORD000007,12,Vellore, Arunachal Pradesh,DTDC,06-08-2025,10-08-2025,09-08-2025,Delivered,3,743.25,Standard,Delivered,,4,Good,Yes
SHP000008,ORD000008,13,Nagercoil, Gujarat,DTDC,29-03-2026,04-04-2026,,In Transit,,328.52,Express,Arrived at Hub,,,,Pending
SHP000009,ORD000009,12,Tirunelveli, Assam,XpressBees,30-03-2026,02-04-2026,03-04-2026,Delivered,4,116.08,Standard,Delivered,,3,Average,No
SHP000010,ORD000010,25,Aurangabad, Jharkhand,Blue Dart,10-12-2024,13-12-2024,,In Transit,,873.16,Standard,Arrived at Hub,,,,Pending
SHP000011,ORD000011,15,Medininagar, Assam,Delhivery,23-09-2025,27-09-2025,28-09-2025,Returned,5,401.67,Express,Returned to Warehouse,,5,Excellent,No
SHP000012,ORD000012,9,Shivpuri, Himachal Pradesh,DTDC,05-11-2024,12-11-2024,13-11-2024,Delivered,8,117.83,Standard,Delivered,,3,Average,No
SHP000013,ORD000013,18,Durg, Nagaland,Delhivery,25-10-2024,28-10-2024,,In Transit,,489.15,Standard,Arrived at Hub,,,,Pending
SHP000014,ORD000014,21,Jamalpur, Uttar Pradesh,Ecom Express,13-06-2026,19-06-2026,18-06-2026,Delivered,5,700.38,Standard,Delivered,,3,Average,Yes
SHP000015,ORD000015,25,Sonipat, Goa,Blue Dart,26-02-2026,28-02-2026,,In Transit,,814.79,Express,Arrived at Hub,,,,Pending
SHP000016,ORD000016,3,Surat, Jharkhand,Blue Dart,20-08-2024,26-08-2024,,In Transit,,882.55,Standard,Arrived at Hub,,,,Pending
SHP000017,ORD000017,21,Kirari Suleman Nagar, Telangana,Delhivery,16-09-2024,21-09-2024,22-09-2024,Delivered,6,485.91,Standard,Delivered,,4,Good,No
SHP000018,ORD000018,8,Satna, Punjab,DTDC,31-10-2024,06-11-2024,07-11-2024,Delivered,7,299.6,Standard,Delivered,,5,Excellent,No
SHP000019,ORD000019,19,Siwan, Madhya Pradesh,Delhivery,28-03-2025,31-03-2025,,Out for Delivery,,997.46,Standard,Out for Delivery,,,,Pending
SHP000020,ORD000020,16,Haldia, Goa,Delhivery,03-11-2025,05-11-2025,,In Transit,,868.05,Standard,Arrived at Hub,,,,Pending
SHP000021,ORD000021,6,Karawal Nagar, Andhra Pradesh,Blue Dart,06-10-2024,11-10-2024,14-10-2024,Returned,8,110.35,Standard,Returned to Warehouse,,5,Excellent,No
SHP000022,ORD000022,15,Delhi, Madhya Pradesh,Delhivery,20-03-2025,24-03-2025,25-03-2025,Delivered,5,867.74,Standard,Delivered,,3,Average,No
SHP000023,ORD000023,24,Aligarh, Tripura,XpressBees,04-04-2026,11-04-2026,12-04-2026,Delivered,8,763.33,Standard,Delivered,,3,Average,No
SHP000024,ORD000024,11,Aizawl, Chhattisgarh,Delhivery,27-03-2026,01-04-2026,,Out for Delivery,,200.25,Express,Out for Delivery,,,,Pending
SHP000025,ORD000025,24,Srinagar, Kerala,DTDC,28-08-2024,01-09-2024,02-09-2024,Delivered,5,773.86,Standard,Delivered,,2,Poor,No
SHP000026,ORD000026,4,Hazaribagh, Punjab,Delhivery,26-12-2024,30-12-2024,02-01-2025,Returned,7,532.28,Express,Returned to Warehouse,,4,Good,No
SHP000027,ORD000027,12,Katni, Tamil Nadu,Ekart Logistics,06-12-2024,12-12-2024,,In Transit,,955.82,Standard,Arrived at Hub,,,,Pending
SHP000028,ORD000028,1,Kurnool, Tamil Nadu,Ekart Logistics,08-09-2024,12-09-2024,12-09-2024,Delivered,4,68.5,Standard,Delivered,,4,Good,Yes
SHP000029,ORD000029,10,Tiruvottiyur, Sikkim,Ekart Logistics,26-05-2026,28-05-2026,27-05-2026,Delivered,1,884.11,Express,Delivered,,3,Average,Yes
SHP000030,ORD000030,3,Sasaram, West Bengal,DTDC,04-09-2024,09-09-2024,08-09-2024,Delivered,4,979.09,Express,Delivered,,1,Very Poor,Yes
SHP000031,ORD000031,5,Guntur, Uttar Pradesh,DTDC,08-12-2024,14-12-2024,,Out for Delivery,,206.87,Standard,Out for Delivery,,,,Pending
SHP000032,ORD000032,20,Etawah, Maharashtra,XpressBees,08-11-2025,11-11-2025,12-11-2025,Delivered,4,767.5,Express,Delivered,,5,Excellent,No
SHP000033,ORD000033,23,Mysore, Andhra Pradesh,Blue Dart,18-12-2025,23-12-2025,26-12-2025,Returned,8,667.38,Standard,Returned to Warehouse,,3,Average,No
SHP000034,ORD000034,17,Vijayawada, Goa,Blue Dart,24-02-2026,27-02-2026,,In Transit,,263.46,Standard,Arrived at Hub,,,,Pending
SHP000035,ORD000035,19,Bihar Sharif, Bihar,Delhivery,03-02-2026,06-02-2026,09-02-2026,Returned,6,259.21,Same Day,Returned to Warehouse,,3,Average,No
SHP000036,ORD000036,21,Jalgaon, Haryana,Ecom Express,30-03-2025,02-04-2025,01-04-2025,Delivered,2,910.15,Standard,Delivered,,3,Average,Yes
