risk_event_id,shipment_id,warehouse_id,supplier_id,product_id,event_date,risk_category,risk_type,severity,impact_area,estimated_loss,status,root_cause,resolution_action,resolved_date
RSK000001,SHP004277,22,457,27,21-01-2025,Supplier,Supplier Capacity Issue,High,Supplier,92291,Mitigated,Poor demand forecasting,Expedited shipment,26-01-2025
RSK000002,SHP006677,12,253,2913,12-04-2025,Inventory,Inventory Mismatch,Low,Supplier,2037,Mitigated,Incorrect inventory records,Additional quality inspection,26-04-2025
RSK000003,SHP012862,16,58,220,05-11-2025,Warehouse,Fire Alarm,Critical,Supplier,348872,Mitigated,Supplier production delay,Expedited shipment,08-11-2025
RSK000004,SHP007454,10,124,4967,18-08-2025,Inventory,Overstock,High,Shipment,86760,Resolved,Supplier production delay,Expedited shipment,22-08-2025
RSK000005,SHP012451,17,78,2670,14-08-2025,Warehouse,Storage Capacity Full,Low,Inventory,1402,Open,Customs clearance delay,Additional quality inspection,
RSK000006,SHP003668,14,364,2539,22-06-2025,Supplier,Supplier Capacity Issue,Medium,Warehouse,21943,Resolved,Poor demand forecasting,Route optimized,24-06-2025
RSK000007,SHP002253,10,409,2005,22-05-2025,Supplier,Material Shortage,Low,Inventory,3471,Mitigated,Incorrect inventory records,Additional quality inspection,26-05-2025
RSK000008,SHP008425,12,179,1198,16-12-2025,Supplier,Material Shortage,Medium,Shipment,17101,Resolved,Vehicle mechanical failure,Emergency procurement completed,19-12-2025
RSK000009,SHP013112,3,332,2666,03-09-2025,Transportation,Vehicle Breakdown,Low,Shipment,534,Mitigated,Poor demand forecasting,Emergency procurement completed,10-09-2025
RSK000010,SHP002887,19,464,1228,25-07-2025,Weather,Flood,Medium,Supplier,23079,Investigating,Supplier production delay,Expedited shipment,
RSK000011,SHP003200,6,357,191,25-12-2025,Product Quality,Packaging Damage,Medium,Customer,17832,Mitigated,Customs clearance delay,Insurance claim initiated,31-12-2025
RSK000012,SHP010806,10,402,152,02-10-2025,Supplier,Material Shortage,Low,Customer,2510,Open,Supplier production delay,Warehouse maintenance completed,
RSK000013,SHP005164,2,296,1398,11-07-2025,Warehouse,Storage Capacity Full,Medium,Warehouse,6580,Resolved,Poor demand forecasting,Increased safety stock,21-07-2025
RSK000014,SHP014002,8,3,2881,31-05-2025,Supplier,Material Shortage,High,Warehouse,82394,Investigating,Packaging quality issue,Emergency procurement completed,
RSK000015,SHP009427,13,397,4762,13-11-2025,Logistics,Route Blockage,High,Supplier,56418,Open,Supplier production delay,Route optimized,
RSK000016,SHP005191,8,475,4333,25-05-2025,Logistics,Shipment Delay,Low,Supplier,1393,Investigating,Customs clearance delay,Increased safety stock,
RSK000017,SHP014259,14,450,4483,27-02-2025,Logistics,Shipment Delay,Medium,Warehouse,24041,Resolved,Packaging quality issue,Insurance claim initiated,07-03-2025
RSK000018,SHP001031,7,215,814,31-05-2025,Inventory,Overstock,High,Supplier,53080,Resolved,Incorrect inventory records,Additional quality inspection,02-06-2025
RSK000019,SHP013817,25,150,1664,19-02-2025,Logistics,Route Blockage,Medium,Warehouse,21121,Resolved,Vehicle mechanical failure,Route optimized,28-02-2025
RSK000020,SHP001687,19,302,4544,01-12-2025,Logistics,Shipment Delay,Low,Supplier,1848,Resolved,Heavy rainfall disrupted transport,Insurance claim initiated,10-12-2025
RSK000021,SHP006183,16,46,920,27-03-2025,Warehouse,Power Failure,Critical,Warehouse,222664,Resolved,Supplier production delay,Route optimized,05-04-2025
RSK000022,SHP013777,23,348,4011,24-09-2025,Warehouse,Power Failure,High,Warehouse,92161,Investigating,Customs clearance delay,Additional quality inspection,
